"Uni"	"City"
"A.T. Still University of Health Sciences"	"Kirksville, MO"
"Aaniiih Nakoda College"	"Harlem, MT"
"Abcott Institute"	"Southfield, MI"
"Abraham Baldwin Agricultural College"	"Tifton, GA"
"Academy at Austin"	"Pflugerville, TX"
"Academy College"	"Minneapolis, MN"
"Academy for Practical Nursing & Health Occupations"	"West Palm Beach, FL"
"Academy of Career Training"	"Kissimmee, FL"
"Academy of Careers and Technology"	"Beckley, WV"
"Academy of Chinese Culture and Health Sciences"	"Oakland, CA"
"Academy of Cosmetology - FL"	"Merritt Island, FL"
"Academy of Cosmetology and Esthetics NYC"	"Staten Island, NY"
"Academy of Hair Design-Poway"	"Poway, CA"
"Academy of Hair Technology"	"Greenville, SC"
"Academy of Nail Skin and Hair"	"Billings, MT"
"Academy of Oriental Medicine at Austin"	"Austin, TX"
"Academy of Salon Professionals"	"Sedalia, MO"
"The Academy Waukesha"	"Waukesha, WI"
"Ace Computer Training Center"	"Forest Hills, NY"
"Ace Cosmetology and Barber Training Center"	"Wolcott, CT"
"Acupuncture and Integrative Medicine College-Berkeley"	"Berkeley, CA"
"Acupuncture and Massage College"	"Miami, FL"
"Adams State University"	"Alamosa, CO"
"Adirondack Community College"	"Queensbury, NY"
"Adrian College"	"Adrian, MI"
"Adrians Beauty College of Turlock"	"Turlock, CA"
"Adult & Continuing Education-BCTS"	"Hackensack, NJ"
"Adult and Community Education-Hudson"	"Columbus, OH"
"Adult Center for Education"	"Zanesville, OH"
"Advance Beauty College"	"Garden Grove, CA"
"Advanced Technology Institute"	"Virginia Beach, VA"
"Advanced Training Institute"	"Las Vegas, NV"
"AdventHealth University"	"Orlando, FL"
"Agnes Scott College"	"Decatur, GA"
"Aiken Technical College"	"Graniteville, SC"
"Aims Community College"	"Greeley, CO"
"Air Force Institute of Technology"	"Wright Patterson, OH"
"Alabama A & M University"	"Normal, AL"
"Alabama State University"	"Montgomery, AL"
"Alameda Beauty College"	"Alameda, CA"
"Alaska Career College"	"Anchorage, AK"
"Alaska Pacific University"	"Anchorage, AK"
"Albany BOCES-Adult Practical Nursing Program"	"Albany, NY"
"Albany College of Pharmacy and Health Sciences"	"Albany, NY"
"Albany Law School"	"Albany, NY"
"Albany Medical College"	"Albany, NY"
"Albany State University"	"Albany, GA"
"Albany Technical College"	"Albany, GA"
"Albion College"	"Albion, MI"
"Albright College"	"Reading, PA"
"Alcorn State University"	"Alcorn State, MS"
"Alderson Broaddus University"	"Philippi, WV"
"Alexandria Technical and Community College"	"Alexandria, MN"
"Alfred University"	"Alfred, NY"
"Alhambra Beauty College"	"Alhambra, CA"
"Alice Lloyd College"	"Pippa Passes, KY"
"Allan Hancock College"	"Santa Maria, CA"
"Allegheny College"	"Meadville, PA"
"Allen College"	"Waterloo, IA"
"Allen University"	"Columbia, SC"
"Alliant International University"	"San Diego, CA"
"Allstate Commercial Driver Training"	"Seymour, CT"
"Alma College"	"Alma, MI"
"Alpena Community College"	"Alpena, MI"
"Altoona Beauty School Inc"	"Altoona, PA"
"Alvernia University"	"Reading, PA"
"Alverno College"	"Milwaukee, WI"
"Alvin Community College"	"Alvin, TX"
"Amberton University"	"Garland, TX"
"Ambria College of Nursing"	"Hanover Park, IL"
"American Academy of Art"	"Chicago, IL"
"American Academy of Cosmetology"	"Orange Park, FL"
"American Advanced Technicians Institute"	"Hialeah, FL"
"American Baptist College"	"Nashville, TN"
"American Beauty School"	"Bronx, NY"
"American College for Medical Careers"	"Orlando, FL"
"American College of Acupuncture and Oriental Med"	"Houston, TX"
