"metro_area"	"living"	"poverty"
"Anniston-Oxford-Jacksonville, AL"	30243.2	12875.2
"Anniston-Oxford-Jacksonville, AL"	30243.2	12875.2
"Auburn-Opelika, AL"	31844.8	12875.2
"Birmingham-Hoover, AL"	35547.2	12875.2
"Daphne-Fairhope-Foley, AL"	33737.6	12875.2
"Decatur, AL"	30638.4	12875.2
"Dothan, AL"	31054.4	12875.2
"Florence-Muscle Shoals, AL"	30867.2	12875.2
"Gadsden, AL"	31345.6	12875.2
"Huntsville, AL"	31824	12875.2
"Mobile, AL"	32240	12875.2
"Montgomery, AL"	32572.8	12875.2
"Tuscaloosa, AL"	32760	12875.2
"Anchorage, AK"	33508.8	16099.2
"Fairbanks, AK"	33779.2	16099.2
"Flagstaff, AZ"	37856	12875.2
"Lake Havasu City-Kingman, AZ"	32323.2	12875.2
"Phoenix-Mesa-Scottsdale, AZ"	36504	12875.2
"Prescott, AZ"	33092.8	12875.2
"Sierra Vista-Douglas, AZ"	32593.6	12875.2
"Tucson, AZ"	32156.8	12875.2
"Yuma, AZ"	32614.4	12875.2
"Fayetteville-Springdale-Rogers, AR"	32136	12875.2
"Fort Smith, AR"	32489.6	12875.2
"Hot Springs, AR"	31616	12875.2
"Jonesboro, AR"	30992	12875.2
"Little Rock-North Little Rock-Conway, AR"	33571.2	12875.2
"Pine Bluff, AR"	31220.8	12875.2
"Bakersfield, CA"	33488	12875.2
"Chico, CA"	34819.2	12875.2
"El Centro, CA"	33113.6	12875.2
"Fresno, CA"	34382.4	12875.2
"Hanford-Corcoran, CA"	36732.8	12875.2
"Los Angeles-Long Beach-Anaheim, CA"	44969.6	12875.2
"Madera, CA"	36441.6	12875.2
"Merced, CA"	33342.4	12875.2
"Modesto, CA"	36670.4	12875.2
"Napa, CA"	43284.8	12875.2
"Oxnard-Thousand Oaks-Ventura, CA"	42348.8	12875.2
"Redding, CA"	34528	12875.2
"Riverside-San Bernardino-Ontario, CA"	37648	12875.2
"Sacramento--Roseville--Arden-Arcade, CA"	39249.6	12875.2
"Salinas, CA"	43534.4	12875.2
"San Diego-Carlsbad, CA"	45489.6	12875.2
"San Francisco-Oakland-Hayward, CA"	53144	12875.2
"San Jose-Sunnyvale-Santa Clara, CA"	57699.2	12875.2
"San Luis Obispo-Paso Robles-Arroyo Grande, CA"	40809.6	12875.2
"Santa Cruz-Watsonville, CA"	54579.2	12875.2
"Santa Maria-Santa Barbara, CA"	50502.4	12875.2
"Santa Rosa, CA"	43409.6	12875.2
"Stockton-Lodi, CA"	36004.8	12875.2
"Vallejo-Fairfield, CA"	41163.2	12875.2
"Visalia-Porterville, CA"	33342.4	12875.2
"Yuba City, CA"	36441.6	12875.2
"Boulder, CO"	42286.4	12875.2
"Colorado Springs, CO"	35172.8	12875.2
"Denver-Aurora-Lakewood, CO"	40809.6	12875.2
"Fort Collins, CO"	38251.2	12875.2
"Grand Junction, CO"	33384	12875.2
"Greeley, CO"	35630.4	12875.2
"Pueblo, CO"	32739.2	12875.2
"Bridgeport-Stamford-Norwalk, CT"	40913.6	12875.2
"Hartford-West Hartford-East Hartford, CT"	37356.8	12875.2
"New Haven-Milford, CT"	38417.6	12875.2
"Norwich-New London, CT"	36150.4	12875.2
"Dover, DE"	36504	12875.2
"Washington-Arlington-Alexandria, DC"	45905.6	12875.2
"Cape Coral-Fort Myers, FL"	34902.4	12875.2
"Crestview-Fort Walton Beach-Destin, FL"	34902.4	12875.2
"Deltona-Daytona Beach-Ormond Beach, FL"	31740.8	12875.2
"Gainesville, FL"	31740.8	12875.2
"Homosassa Springs, FL"	31116.8	12875.2
"Jacksonville, FL"	32260.8	12875.2
"Lakeland-Winter Haven, FL"	32988.8	12875.2
"Miami-Fort Lauderdale-West Palm Beach, FL"	36420.8	12875.2
"Naples-Immokalee-Marco Island, FL"	35152	12875.2
"North Port-Sarasota-Bradenton, FL"	33654.4	12875.2
"Ocala, FL"	31574.4	12875.2
"Orlando-Kissimmee-Sanford, FL"	36628.8	12875.2
"Palm Bay-Melbourne-Titusville, FL"	32510.4	12875.2
"Panama City, FL"	34756.8	12875.2
"Pensacola-Ferry Pass-Brent, FL"	32739.2	12875.2
"Port St. Lucie, FL"	34840	12875.2
"Punta Gorda, FL"	33072	12875.2
"Sebastian-Vero Beach, FL"	31678.4	12875.2
"Sebring, FL"	29931.2	12875.2
"Tallahassee, FL"	32656	12875.2
"Tampa-St. Petersburg-Clearwater, FL"	35713.6	12875.2
"The Villages, FL"	31907.2	12875.2
"Albany, GA"	32656	12875.2
"Athens-Clarke County, GA"	33051.2	12875.2
"Atlanta-Sandy Springs-Roswell, GA"	38209.6	12875.2
"Augusta-Richmond County, GA"	32614.4	12875.2
"Brunswick, GA"	33300.8	12875.2
"Columbus, GA"	32385.6	12875.2
"Dalton, GA"	31012.8	12875.2
"Gainesville, GA"	34507.2	12875.2
"Hinesville, GA"	34361.6	12875.2
"Macon-Bibb County, GA"	30888	12875.2
"Rome, GA"	32448	12875.2
"Savannah, GA"	36233.6	12875.2
"Valdosta, GA"	31928	12875.2
"Warner Robins, GA"	33841.6	12875.2
"Kahului-Wailuku-Lahaina, HI"	43680	14830.4
"Urban Honolulu, HI"	45385.6	14830.4
"Boise City, ID"	33633.6	12875.2
"Coeur d'Alene, ID"	33612.8	12875.2
"Idaho Falls, ID"	31470.4	12875.2
"Lewiston, ID"	32177.6	12875.2
"Pocatello, ID"	30513.6	12875.2
"Twin Falls, ID"	31865.6	12875.2
"Bloomington, IL"	33529.6	12875.2
"Carbondale-Marion, IL"	31179.2	12875.2
"Champaign-Urbana, IL"	35422.4	12875.2
"Chicago-Naperville-Elgin, IL"	38313.6	12875.2
"Danville, IL"	31678.4	12875.2
"Decatur, IL"	31449.6	12875.2
"Kankakee, IL"	33384	12875.2
"Peoria, IL"	32448	12875.2
"Rockford, IL"	31720	12875.2
"Springfield, IL"	32448	12875.2
"Bloomington, IN"	33072	12875.2
"Columbus, IN"	34403.2	12875.2
"Elkhart-Goshen, IN"	31283.2	12875.2
"Evansville, IN"	32032	12875.2
"Fort Wayne, IN"	31532.8	12875.2
"Indianapolis-Carmel-Anderson, IN"	33072	12875.2
"Kokomo, IN"	31720	12875.2
"Lafayette-West Lafayette, IN"	32364.8	12875.2
"Michigan City-La Porte, IN"	30700.8	12875.2
"Muncie, IN"	31532.8	12875.2
"South Bend-Mishawaka, IN"	32115.2	12875.2
"Terre Haute, IN"	30576	12875.2
"Ames, IA"	33113.6	12875.2
"Cedar Rapids, IA"	32011.2	12875.2
"Davenport-Moline-Rock Island, IA"	32032	12875.2
"Des Moines-West Des Moines, IA"	32905.6	12875.2
"Dubuque, IA"	32260.8	12875.2
"Iowa City, IA"	35131.2	12875.2
"Sioux City, IA"	33862.4	12875.2
"Waterloo-Cedar Falls, IA"	33051.2	12875.2
"Lawrence, KS"	34632	12875.2
"Manhattan, KS"	31928	12875.2
"Topeka, KS"	33009.6	12875.2
"Wichita, KS"	32448	12875.2
"Bowling Green, KY"	32219.2	12875.2
"Elizabethtown-Fort Knox, KY"	32156.8	12875.2
"Lexington-Fayette, KY"	32260.8	12875.2
"Louisville/Jefferson County, KY"	32697.6	12875.2
"Owensboro, KY"	31782.4	12875.2
"Alexandria, LA"	30700.8	12875.2
"Baton Rouge, LA"	34028.8	12875.2
"Hammond, LA"	32884.8	12875.2
"Houma-Thibodaux, LA"	32531.2	12875.2
"Lafayette, LA"	31720	12875.2
"Lake Charles, LA"	32323.2	12875.2
"Monroe, LA"	30555.2	12875.2
"New Orleans-Metairie, LA"	33945.6	12875.2
"Shreveport-Bossier City, LA"	32323.2	12875.2
"Bangor, ME"	33758.4	12875.2
"Lewiston-Auburn, ME"	34756.8	12875.2
"Portland-South Portland, ME"	39228.8	12875.2
"Baltimore-Columbia-Towson, MD"	36483.2	12875.2
"California-Lexington Park, MD"	36088	12875.2
"Cumberland, MD"	30305.6	12875.2
"Hagerstown-Martinsburg, MD"	31782.4	12875.2
"Salisbury, MD"	32864	12875.2
"Barnstable Town, MA"	40164.8	12875.2
"Boston-Cambridge-Newton, MA"	46924.8	12875.2
"Pittsfield, MA"	35984	12875.2
"Springfield, MA"	33800	12875.2
"Worcester, MA"	37689.6	12875.2
"Ann Arbor, MI"	38542.4	12875.2
"Battle Creek, MI"	31532.8	12875.2
"Bay City, MI"	30950.4	12875.2
"Detroit-Warren-Dearborn, MI"	33696	12875.2
"Flint, MI"	31012.8	12875.2
"Grand Rapids-Wyoming, MI"	34320	12875.2
"Jackson, MI"	32635.2	12875.2
"Kalamazoo-Portage, MI"	35089.6	12875.2
"Lansing-East Lansing, MI"	32552	12875.2
"Midland, MI"	31428.8	12875.2
"Monroe, MI"	32635.2	12875.2
"Muskegon, MI"	32136	12875.2
"Niles-Benton Harbor, MI"	32468.8	12875.2
"Saginaw, MI"	31449.6	12875.2
"Duluth, MN"	33820.8	12875.2
"Mankato-North Mankato, MN"	34049.6	12875.2
"Minneapolis-St. Paul-Bloomington, MN"	37856	12875.2
"Rochester, MN"	34028.8	12875.2
"St. Cloud, MN"	33862.4	12875.2
"Gulfport-Biloxi-Pascagoula, MS"	31803.2	12875.2
"Hattiesburg, MS"	30368	12875.2
"Jackson, MS"	33488	12875.2
"Cape Girardeau, MO"	31990.4	12875.2
"Columbia, MO"	32635.2	12875.2
"Jefferson City, MO"	31200	12875.2
"Joplin, MO"	32406.4	12875.2
"Kansas City, MO"	34840	12875.2
"St. Joseph, MO"	32011.2	12875.2
"St. Louis, MO"	33945.6	12875.2
"Springfield, MO"	32697.6	12875.2
"Billings, MT"	32593.6	12875.2
"Great Falls, MT"	32739.2	12875.2
"Missoula, MT"	33883.2	12875.2
"Grand Island, NE"	34112	12875.2
"Lincoln, NE"	33862.4	12875.2
"Omaha-Council Bluffs, NE"	35068.8	12875.2
