"RespondentId"	"student_type"	"department"	"tuition_covered"	"stipend_type"	"contract_position"	"funding_source"	"contract_term"	"stipend_amt"	"addtl_funding"	"addtl_amt"	"total_funding"	"Program"	"Level"	"College"	"dist"	"program_type"
"1"	96301331	"Doctorate"	"Anthropology"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	15250	"No"	0	15250	"Anthropology"	"Doctorate"	"Arts and Sciences"	0	"Social Science"
"2"	96301636	"Doctorate"	"Anthropology"	"Partially"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	12000	"No"	0	12000	"Anthropology"	"Doctorate"	"Arts and Sciences"	0	"Social Science"
"3"	96301758	"Doctorate"	"Anthropology"	"Yes"	"Yes"	"Other"	"Both"	"Other"	15500	"Yes"	0	15500	"Anthropology"	"Doctorate"	"Arts and Sciences"	0	"Social Science"
"4"	96300065	"Doctorate"	"Biological"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Both"	"Semester-based"	26000	"Yes"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0.157894736842105	"Natural Science"
"5"	96352446	"Doctorate"	"Biological"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0.157894736842105	"Natural Science"
"6"	96302485	"Doctorate"	"Biological Science"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0.0175438596491229	"Natural Science"
"7"	96302390	"Doctorate"	"Biological sciences"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Both"	"12-month"	26000	"Yes"	10000	36000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0.0999025341130605	"Natural Science"
"8"	96300077	"Doctorate"	"Biological Sciences"	"Yes"	"Yes"	"Graduate Research Assistant"	"Both"	"Semester-based"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"9"	96300100	"Doctorate"	"Biological Sciences"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	15150	"No"	0	15150	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"10"	96300234	"Doctorate"	"Biological Sciences"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"11"	96300430	"Doctorate"	"Biological Sciences"	"Partially"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"12"	96300511	"Doctorate"	"Biological Sciences"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"13"	96303563	"Doctorate"	"Biological Sciences"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"14"	96303780	"Doctorate"	"Biological Sciences"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	26000	"Yes"	3000	29000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"15"	96347022	"Doctorate"	"Biological Sciences"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Both"	"12-month"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"16"	96356947	"Doctorate"	"Biological Sciences"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	26000	"No"	0	26000	"Biological Sciences"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"17"	96329107	"Doctorate"	"biomedical engineering"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	20000	"No"	0	20000	"Biomedical Engineering"	"Doctorate"	"Engineering and Computing"	0.102272727272727	"Engineering"
"18"	96346342	"Doctorate"	"Biomedical engineering"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	11250	"No"	0	11250	"Biomedical Engineering"	"Doctorate"	"Engineering and Computing"	0.06998556998557	"Engineering"
"19"	96347503	"Doctorate"	"Biomedical Engineering"	"Partially"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	9625	"No"	0	9625	"Biomedical Engineering"	"Doctorate"	"Engineering and Computing"	0	"Engineering"
"20"	96330200	"Doctorate"	"Biomedical Sciences"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	21000	"No"	0	21000	"Biomedical Science"	"Doctorate"	"Medicine"	0.0175438596491229	"Natural Science"
"21"	96317287	"Doctorate"	"Biomedical Sciences PhD"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"9-month"	20000	"No"	0	20000	"Biomedical Science"	"Doctorate"	"Medicine"	0.0724637681159421	"Natural Science"
"22"	96299926	"Doctorate"	"Biomedical Sciences Program"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	24000	"No"	0	24000	"Biomedical Science"	"Doctorate"	"Medicine"	0.111111111111111	"Natural Science"
"23"	96301059	"Doctorate"	"Biostatistics"	"No"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	16000	"No"	0	16000	"Biostatistics"	"Doctorate"	"Public Health"	0	"Natural Science"
"24"	96301153	"Doctorate"	"Biostatistics"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Other"	1700	"No"	0	1700	"Biostatistics"	"Doctorate"	"Public Health"	0	"Natural Science"
"25"	96301187	"Doctorate"	"Biostatistics"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Semester-based"	6500	"No"	0	6500	"Biostatistics"	"Doctorate"	"Public Health"	0	"Natural Science"
"26"	96301404	"Doctorate"	"Biostatistics"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	13000	"No"	0	13000	"Biostatistics"	"Doctorate"	"Public Health"	0	"Natural Science"
"27"	96346807	"Doctorate"	"Biostatistics"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Semester-based"	13000	"No"	0	13000	"Biostatistics"	"Doctorate"	"Public Health"	0	"Natural Science"
"28"	96300356	"Doctorate"	"Business"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	20000	"No"	0	20000	"Business Administration"	"Doctorate"	"Business"	0.217391304347826	"Professional"
"29"	96306815	"Doctorate"	"Business Administration (Management Science)"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	20500	"No"	0	20500	"Business Administration"	"Doctorate"	"Business"	0.159090909090909	"Professional"
"30"	96309893	"Doctorate"	"Business Administration (Management/Org Behavior)"	"Yes"	"Yes"	"Graduate Staff Assistant"	"Internal (within USC)"	"12-month"	20500	"No"	0	20500	"Business Administration"	"Doctorate"	"Business"	0.17687074829932	"Professional"
"31"	96300112	"Doctorate"	"Chemical engineering"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Other"	30500	"No"	0	30500	"Chemical Engineering"	"Doctorate"	"Engineering and Computing"	0.0771929824561404	"Engineering"
"32"	96357118	"Doctorate"	"Chemical engineering"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	30000	"No"	0	30000	"Chemical Engineering"	"Doctorate"	"Engineering and Computing"	0.0771929824561404	"Engineering"
"33"	96299898	"Doctorate"	"Chemical Engineering"	"Yes"	"Yes"	"Graduate Research Assistant"	"Both"	"Semester-based"	10000	"Yes"	10000	20000	"Chemical Engineering"	"Doctorate"	"Engineering and Computing"	0	"Engineering"
"34"	96300125	"Doctorate"	"Chemical Engineering"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Semester-based"	17600	"Yes"	12000	29600	"Chemical Engineering"	"Doctorate"	"Engineering and Computing"	0	"Engineering"
"35"	96303539	"Doctorate"	"Chemical Engineering"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"Semester-based"	30000	"No"	0	30000	"Chemical Engineering"	"Doctorate"	"Engineering and Computing"	0	"Engineering"
"36"	96304270	"Doctorate"	"Chemical Engineering"	"Yes"	"Yes"	"Graduate Research Assistant"	"Both"	"Semester-based"	11400	"No"	0	11400	"Chemical Engineering"	"Doctorate"	"Engineering and Computing"	0	"Engineering"
"37"	96299995	"Doctorate"	"chemistry"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Both"	"12-month"	26000	"No"	0	26000	"Chemistry"	"Doctorate"	"Arts and Sciences"	0.0740740740740742	"Natural Science"
"38"	96301198	"Doctorate"	"Chemistry"	"Yes"	"Yes"	"Graduate Research Assistant"	"Both"	"Semester-based"	10000	"No"	0	10000	"Chemistry"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"39"	96301680	"Doctorate"	"Chemistry"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	26000	"No"	0	26000	"Chemistry"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"40"	96302746	"Doctorate"	"Chemistry"	"Yes"	"Yes"	"Graduate Research Assistant"	"Internal (within USC)"	"12-month"	26000	"No"	0	26000	"Chemistry"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"41"	96304982	"Doctorate"	"Chemistry"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"12-month"	26000	"No"	0	26000	"Chemistry"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"42"	96345350	"Doctorate"	"Chemistry"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	26000	"No"	0	26000	"Chemistry"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"43"	96346417	"Doctorate"	"Chemistry"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"Semester-based"	26000	"Yes"	4000	30000	"Chemistry"	"Doctorate"	"Arts and Sciences"	0	"Natural Science"
"44"	96300004	"Doctorate"	"Chemistry and biochemistry"	"Yes"	"Yes"	"Graduate Teaching Assistant"	"Internal (within USC)"	"9-month"	26000	"No"	0	26000	"Chemistry"	"Doctorate"	"Arts and Sciences"	0.217948717948718	"Natural Science"
