"RespondentId"	"living_situation"	"rent_mo"	"util_mo"	"food_mo"	"transp_mo"	"healthCare_mo"	"household_items_mo"	"take_loans"	"recieve_fin_support"	"provide_fin_support"	"expenditures_exceed_income"	"mental_health_stipend_impact"	"food_insecurity"	"residency_status"	"is_otherRace"	"is_other"	"parental_education"	"Race"	"Sex_Gen"
"1"	96299898	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$400-$500"	"More than $400"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"A few times a month"	"Never"	"International"	""	""	"Master's degree"	"White"	"Cisgender man"
"2"	96299899	"I live with my spouse/partner."	"More than $1300"	"$100-$150"	"$400-$500"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Sometimes"	"Daily"	"Never"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender man"
"3"	96299903	"I live alone."	"$1100-$1300"	"$50-$100"	"$400-$500"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"Daily"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"4"	96299904	"I live with roommates."	"$500-$700"	"Less than $50"	"$200-$300"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"Yes"	"Once in a while"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"5"	96299909	"I live with roommates."	"$700-$900"	"Less than $50"	"$600-$700"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"Yes"	"No"	"No"	"Once in a while"	"Once in a while"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender woman"
"6"	96299910	"I live with my parents/guardians."	"$500-$700"	"More than $150"	"$300-$400"	"$200-$300"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"Yes"	"A few times a week"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"7"	96299917	"I live alone."	"$1100-$1300"	"$50-$100"	"$200-$300"	"$200-$300"	"Less than $100"	"$50-$100"	"No"	"Yes"	"No"	"Sometimes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"8"	96299922	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$600-$700"	"More than $400"	"Less than $100"	"$50-$100"	"No"	"No"	"Yes"	"Sometimes"	"A few times a week"	"Never"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"9"	96299924	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$500-$600"	"$100-$200"	"Less than $100"	"$50-$100"	"Yes"	"No"	"Yes"	"Sometimes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"10"	96299925	"I live alone."	"$700-$900"	"More than $150"	"$900-$1000"	"$100-$200"	"$300-$400"	"$50-$100"	"No"	"No"	"No"	"Yes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"11"	96299926	"I live with my spouse/partner."	"$1100-$1300"	"More than $150"	"$400-$500"	"$200-$300"	"$400-$500"	"$150-$200"	"Yes"	"No"	"No"	"Yes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender man"
"12"	96299928	"I live with my spouse/partner."	"$700-$900"	"$100-$150"	"$400-$500"	"$200-$300"	"Less than $100"	"$50-$100"	"Yes"	"No"	"No"	"Sometimes"	"A few times a week"	"A few times a month"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender man"
"13"	96299930	"I live with roommates."	"$700-$900"	"$100-$150"	"$200-$300"	"Less than $100"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"A few times a week"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender man"
"14"	96299932	"I live alone."	"$500-$700"	"$50-$100"	"$200-$300"	"$100-$200"	"$100-$200"	"$150-$200"	"Yes"	"No"	"No"	"Yes"	"Never"	"Never"	"Domestic"	""	"Other"	"Secondary school education (high school degree)"	"Asian"	NA
"15"	96299934	"I live with roommates."	"$500-$700"	"$50-$100"	"$500-$600"	"Less than $100"	"Less than $100"	"$100-$150"	"No"	"No"	"No"	"Sometimes"	"A few times a month"	"Once in a while"	"International"	""	""	"Master's degree"	"Asian"	"Cisgender man"
"16"	96299935	"I live alone."	"$1100-$1300"	"I don't spend any money on utilities."	"$200-$300"	"$200-$300"	"I don't spend any money on health-related fees."	"$50-$100"	"Yes"	"No"	"No"	"Sometimes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"17"	96299936	"I live with my spouse/partner."	"$500-$700"	"$50-$100"	"$300-$400"	"I don't spend any money on transportation."	"Less than $100"	"$50-$100"	"Yes"	"No"	"No"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Secondary school education (high school degree)"	"White"	"Cisgender woman"
"18"	96299941	"I live with roommates."	"$700-$900"	"$100-$150"	"$600-$700"	"$300-$400"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Yes"	"Daily"	"A few times a week"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender woman"
"19"	96299943	"I live with my spouse/partner."	"$500-$700"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"$50-$100"	"No"	"No"	"No"	"Sometimes"	"A few times a week"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"20"	96299945	"I live with my spouse/partner."	"$500-$700"	"$100-$150"	"$300-$400"	"$100-$200"	"Less than $100"	"Less than $50"	"No"	"No"	"No"	"Sometimes"	"A few times a month"	"Never"	"International"	""	""	"Master's degree"	"White"	"Cisgender man"
"21"	96299947	"I live with roommates."	"$700-$900"	"$50-$100"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"Yes"	"No"	"No"	"Yes"	"Daily"	"Daily"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"22"	96299952	"I live alone."	"$1100-$1300"	"$100-$150"	"$700-$800"	"$300-$400"	"Less than $100"	"$150-$200"	"No"	"No"	"No"	"No"	"Never"	"Never"	"Domestic"	""	"Other"	"Bachelor's degree"	"White"	NA
"23"	96299954	"I live alone."	"More than $1300"	"More than $150"	"$300-$400"	"$100-$200"	"$100-$200"	"$150-$200"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"A few times a month"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"24"	96299955	"I live with my spouse/partner."	"$1100-$1300"	"I don't spend any money on utilities."	"Less than $200"	"Less than $100"	"Less than $100"	"$100-$150"	"Yes"	"No"	"No"	"Yes"	"Daily"	"Never"	"Domestic"	""	""	"Bachelor's degree"	"White"	"Cisgender woman"
"25"	96299964	"I live alone."	"More than $1300"	"More than $150"	"$500-$600"	"More than $400"	"More than $500"	"More than $200"	"Yes"	"No"	"Yes"	"Yes"	"Daily"	"Daily"	"Domestic"	""	""	"Bachelor's degree"	"Other BIPOC"	"Cisgender woman"
"26"	96299967	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$700-$800"	"$100-$200"	"Less than $100"	"$50-$100"	"No"	"No"	"Yes"	"No"	"Once in a while"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"27"	96299968	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$600-$700"	"$300-$400"	"$200-$300"	"$100-$150"	"Yes"	"No"	"Yes"	"Yes"	"A few times a week"	"A few times a week"	"Domestic"	""	""	"Doctorate degree"	"White"	"Cisgender woman"
"28"	96299971	"I live alone."	"$700-$900"	"More than $150"	"$200-$300"	"More than $400"	"Less than $100"	"$50-$100"	"No"	"No"	"Yes"	"Sometimes"	"Daily"	"Once in a while"	"Domestic"	""	""	"Master's degree"	"Black"	"Cisgender woman"
"29"	96299972	"I live with my spouse/partner."	"$1100-$1300"	"$100-$150"	"$200-$300"	"Less than $100"	"Less than $100"	"Less than $50"	"No"	"No"	"No"	"Sometimes"	"A few times a month"	"Never"	"International"	""	""	"Bachelor's degree"	"Asian"	"Cisgender woman"
"30"	96299979	"I live with roommates."	"$700-$900"	"$50-$100"	"$300-$400"	"$100-$200"	"Less than $100"	"$50-$100"	"Yes"	"Yes"	"No"	"Yes"	"Daily"	"A few times a week"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"31"	96299980	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$900-$1000"	"$100-$200"	"$400-$500"	"$50-$100"	"No"	"No"	"Yes"	"Sometimes"	"A few times a month"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
"32"	96299987	"I live with my spouse/partner."	"More than $1300"	"More than $150"	"$300-$400"	"$200-$300"	"I don't spend any money on health-related fees."	"$50-$100"	"Yes"	"No"	"No"	"Sometimes"	"A few times a week"	"Never"	"Domestic"	""	""	"Master's degree"	"White"	"Cisgender woman"
