"Program"	"College"	"uni"	"program"	"stipend"	"value"	"year"	"year_in"	"comment"	"mo_12"	"mo_9"	"mo_3"	"fees"	"Uni"	"City"	"metro_area"	"rank"	"living"	"poverty"	"dist"	"dist2"
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	"24000"	"1.03"	"2016-2017"	NA	NA	"$26,000"	NA	NA	"$2,000"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	"24900"	"1.07"	"2017-2018"	"3rd"	"Does not pay fees and required health insurance."	"$26,000"	NA	NA	"$1,100"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	"31500"	"1.35"	"2017-2018"	"1st"	NA	"$31,500"	NA	NA	NA	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	"33500"	"1.44"	"2015-2016"	"2nd"	NA	"$33,500"	NA	NA	NA	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	"40200"	"1.73"	"2018-2019"	"2nd"	"SMART"	"$40,200"	NA	NA	NA	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	"23900"	"1.03"	"2020-2021"	"2nd"	"Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. <span class=\"\"truncated\"\"> Tuition is waived.</span>"	"$26,400"	NA	NA	"$2,500"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	"25000"	"1.07"	"2022-2023"	"5th"	NA	"$28,000"	NA	NA	"$3,000"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	29	38209.6	12875.2	0	0
"Aerospace Engineering"	"Engineering and Computing"	"University of California - Los Angeles"	"Aerospace Engineering"	"34000"	"1.31"	"2017-2018"	"2nd"	"NSF GRFP"	"$34,000"	NA	NA	NA	"University of California--Los Angeles"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	20	44969.6	12875.2	0.04970101680628	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Colorado - Boulder"	"Aerospace Engineering"	"26000"	"1.26"	"2014-2015"	"3rd"	"Varies with whether you&#39;ve passed comps or not."	"$27,000"	NA	NA	"$1,000"	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	104	42286.4	12875.2	0.0315860215053764	0
"Aerospace Engineering"	"Engineering and Computing"	"University of Colorado - Boulder"	"Aerospace Engineering"	"21000"	"0.82"	"2019-2020"	"1st"	NA	NA	"$23,000"	NA	"$2,000"	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	104	42286.4	12875.2	0.0315860215053764	0
